代码,名称,池,行业,PE,ROE,毛利率,净利率,负债率,市值(亿),营收增速,理由
000001.SZ,平安银行,大市值,银行,5.043,10.608,,41.1685,90.983,2171.5,4.6516,平安银行：银行股金融豁免，ROE年化10.6%达标(>8%)，PE_TTM仅5.04倍处历史低位，营收增速4.65%，净利率41.2%。PB约0.5倍，股息稳健，估值明显低估+盈利质量稳定=PASS
000333.SZ,美的集团,大市值,家用电器,14.3836,22.2592,25.5711,9.809,60.0182,6357.2,2.5501,美的集团：家电龙头白马，ROE年化22.26%优秀，PE_TTM 14.38倍明显低估(ROE22%/PE14组合佳)，毛利率25.6%净利率9.8%稳健，负债率60%含合同负债可控，营收增速2.55%放缓但盈利质量高，全球化+机器人第二曲
000429.SZ,粤高速A,大市值,路桥,19.3916,15.968,68.2196,58.0669,48.0381,309.4,2.6793,粤高速A高速公路，市值309亿。ROE(年)15.97%稳健，毛利率68.22%净利率58.07%(高折旧类公用事业常态)，营收增速2.68%低速但稳定，现金奶牛属性强。负债率48.04%属路桥行业正常水平，经营现金流优于净利润。PE(TT
000538.SZ,云南白药,大市值,中成药,17.2311,19.842,30.6331,17.5011,25.3069,905.7,7.0228,中药消费龙头，市值906亿。ROE(年)19.84%优秀，负债率仅25.31%财务极稳健，净利率17.5%。毛利率30.63%因含低毛利商业分销业务结构性偏低，品牌核心业务(白药系列+牙膏)实际盈利能力强。PE(TTM)17.23对品牌中药
000544.SZ,中原环保,小盘,环境保护,6.7449,12.3532,60.1638,30.7872,73.0142,71.7,1.7442,PE 6.7倍+毛利60%+净利31%明显低估，区域水务公用事业，负债率73%偏高营收停滞
000567.SZ,海德股份,大市值,多元金融,17.0958,28.8776,99.405,77.0979,40.2884,121.0,147.8126,AMC不良资产管理，市值121亿。金融豁免处理：ROE(年)28.88%远超8%门槛优秀，营收增速147.81%爆发(不良资产处置业务扩张)，PE(TTM)17.10对应高ROE+高增速显便宜，毛利率99.4%净利率77.1%为金融行业特性
000598.SZ,兴蓉环境,大市值,水务,10.4939,10.5556,46.5399,25.9054,57.6447,212.5,3.1527,成都水务公用事业，市值212亿。PE(TTM)10.49便宜，区域特许经营垄断护城河，毛利率46.54%净利率25.91%稳定。ROE(年)10.56%公用事业正常水平，营收增速3.15%低速但极稳，负债率57.64%为水务资本开支特性。稳
000612.SZ,焦作万方,大市值,铝,9.6519,27.428,36.437,29.0745,15.0299,137.1,18.4857,"焦作万方(铝): 周期制造适配。ROE年化27.4%优秀、毛利36.4%、净利29.1%高、负债率15.0%极低、营收+18.5%稳增。PE 9.65显著低估(ROE27%/PE<10),市值验证通过(137.1亿/偏差0.02%)。电解铝"
000651.SZ,格力电器,大市值,家用电器,7.6974,16.3304,27.4158,14.1945,59.1541,2246.2,3.5157,空调绝对龙头，市值2246亿。PE(TTM)7.70处历史低位明显低估，ROE(年)16.33%良好，毛利率27.42%净利率14.19%。负债率59.15%看似高但主要为经销商返利/预提经营性负债，有息负债低现金充足，财务真实稳健。营收增
000680.SZ,山推股份,大市值,工程机械,13.2306,21.2248,20.9979,8.488,66.2556,167.9,20.106,推土机全球龙头，市值168亿。ROE(年)21.22%为工程机械板块最优，营收增速20.11%中速增长(出口一带一路驱动)，PE(TTM)13.23合理，毛利率21%净利率8.49%行业常态。隐忧：负债率66.26%偏高(行业融资租赁特性)
